Institution, Location, Rating, Score, Valid Through, Liaison, Submitted, Sustainability Rep, Reusable Keyword?, Number of Past Reports, Dates of Past Reports
University of Missouri,"Columbia, MO, US",Gold - expired,69.30,"Aug. 14, 2021",Srinivasan Raghavan,"Feb. 16, 2018",Srinivasan Raghavan,True,3,"Feb. 16, 2018 - Aug. 14, 2021; Feb. 24, 2015 - Feb. 23, 2018; Feb. 25, 2013 - Feb. 25, 2016"
"University of Missouri, Kansas City","Kansas City, MO, US",Silver - expired,58.11,"March 9, 2017",R. Johnston,"March 10, 2014",,False,3,"March 10, 2014 - March 9, 2017; Nov. 30, 2012 - Nov. 30, 2015; Nov. 28, 2012 - Nov. 28, 2015"
Washington University in St. Louis,"Saint Louis, MO, US",Reporter,,"March 6, 2023",Phil Valko,"March 6, 2020",Clara Steyer,True,3,"March 6, 2020 - March 6, 2023; March 2, 2018 - Aug. 28, 2021; Aug. 6, 2011 - Aug. 5, 2014"
University of Mississippi,"University, MS, US",Bronze,36.72,"July 16, 2022",Lindsey Abernathy,"July 17, 2019",Jade Chalkley,True,0,
Montana State University,"Bozeman, MT, US",Silver - expired,57.84,"Feb. 18, 2022",KRISTIN BLACKLER,"Feb. 19, 2019",Kara Landolfi,True,0,
University of Montana,"Missoula, MT, US",Silver,60.89,"Aug. 26, 2024",Eva Rocke,"June 30, 2021",Eva Rocke,True,3,"June 30, 2021 - Aug. 26, 2024; June 30, 2017 - Dec. 26, 2020; March 21, 2014 - March 20, 2017"
Appalachian State University,"Boone, NC, US",Gold,73.93,"April 18, 2022",Jim Dees,"April 19, 2019",Jim Dees,True,3,"April 19, 2019 - April 18, 2022; June 10, 2015 - June 9, 2018; May 21, 2012 - May 21, 2015"
Brunswick Community College,"Bolivia, NC, US",Bronze - expired,37.99,"Feb. 16, 2015",Marilyn Graham,"Feb. 17, 2012",,False,0,
Central Carolina Community College,"Sanford, NC, US",Silver - expired,54.08,"June 23, 2018",Andrew McMahan,"June 24, 2015",,False,2,"June 24, 2015 - June 23, 2018; Aug. 2, 2011 - Aug. 1, 2014"
Duke University,"Durham, NC, US",Reporter - expired,,"Feb. 24, 2018",Tavey Capps,"Feb. 25, 2015",,False,0,
East Carolina University,"Greenville, NC, US",Silver,52.95,"Jan. 15, 2023",Chad Carwein,"Jan. 16, 2020",Chad Carwein,True,2,"Jan. 16, 2020 - Jan. 15, 2023; Feb. 14, 2017 - Feb. 14, 2020"
Elon University,"Elon, NC, US",Silver,59.21,"March 16, 2025",Elaine Durr,"Feb. 11, 2022",Carrie Ryan,True,6,"Feb. 11, 2022 - March 16, 2025; Feb. 19, 2020 - Feb. 18, 2023; Feb. 27, 2018 - Aug. 25, 2021; Nov. 9, 2015 - Nov. 8, 2018; Feb. 5, 2014 - Feb. 4, 2017; Dec. 13, 2011 - Dec. 12, 2014"
Fayetteville State University,"Fayetteville, NC, US",Reporter - expired,,"Feb. 9, 2016",Jon Parsons,"Feb. 9, 2013",,False,0,
Guilford College,"Greensboro, NC, US",Silver - expired,50.22,"Dec. 7, 2018",David Petree,"Dec. 8, 2015",,False,2,"Dec. 8, 2015 - Dec. 7, 2018; June 4, 2012 - June 4, 2015"
Haywood Community College,"Clyde, NC, US",Gold - expired,65.41,"April 5, 2015",Preston Jacobsen,"April 5, 2012",,False,2,"April 5, 2012 - April 5, 2015; April 7, 2011 - April 6, 2014"
North Carolina State University,"Raleigh, NC, US",Gold - expired,65.87,"Jan. 4, 2019",Jessica Bast,"Jan. 5, 2016",,False,2,"Jan. 5, 2016 - Jan. 4, 2019; April 5, 2012 - April 5, 2015"
University of North Carolina at Chapel Hill,"Chapel Hill, NC, US",Gold,69.57,"Feb. 29, 2024",Cindy Shea,"Dec. 23, 2020",Scott Myers,True,4,"Dec. 23, 2020 - Feb. 29, 2024; July 24, 2017 - Jan. 19, 2021; July 18, 2014 - July 17, 2017; Jan. 31, 2011 - Jan. 30, 2014"
"University of North Carolina, Charlotte","Charlotte, NC, US",Silver - expired,49.70,"Sept. 18, 2019",Michael Lizotte,"Sept. 18, 2016",,False,0,
"University of North Carolina, Greensboro","Greensboro, NC, US",Silver,62.26,"March 16, 2025",Sean MacInnes,"Feb. 14, 2022",Danny Dawkins,True,6,"Feb. 14, 2022 - March 16, 2025; Feb. 7, 2019 - Feb. 6, 2022; Feb. 27, 2015 - Feb. 26, 2018; Feb. 28, 2014 - Feb. 27, 2017; Feb. 20, 2013 - Feb. 20, 2016; Dec. 15, 2011 - Dec. 14, 2014"
"University of North Carolina, Pembroke","Pembroke, NC, US",Bronze - expired,35.79,"Feb. 11, 2019",Mark Vesely,"Feb. 12, 2016",,False,0,
"University of North Carolina, Wilmington","Wilmington, NC, US",Silver - expired,51.34,"April 26, 2019",Kat Pohlman,"April 26, 2016",,False,0,
Wake Forest University,"Winston Salem, NC, US",Gold - expired,65.53,"July 26, 2021",Dedee DeLongpre Johnston,"July 27, 2018",Brian Cohen,True,4,"July 27, 2018 - July 26, 2021; June 3, 2015 - June 2, 2018; May 9, 2012 - May 9, 2015; Jan. 28, 2011 - Jan. 27, 2014"
Warren Wilson College,"Asheville, NC, US",Gold,68.39,"March 4, 2023",Brian Liechti,"March 4, 2020",Margo Flood,True,2,"March 4, 2020 - March 4, 2023; Aug. 24, 2016 - Aug. 24, 2019"
Central Community College,"Grand Island, NE, US",Silver,59.37,"March 3, 2023",Benjamin Newton,"March 3, 2020",,False,2,"March 3, 2020 - March 3, 2023; June 14, 2017 - Dec. 10, 2020"
Creighton University,"Omaha, NE, US",Bronze - expired,39.69,"Aug. 28, 2021",Becky Crowell,"March 2, 2018",Brenda Stanek,True,0,
Metropolitan Community College,"Omaha, NE, US",Bronze,31.69,"Oct. 28, 2024",Sally Hopley,"Aug. 30, 2021",Sally Hopley,True,3,"Aug. 30, 2021 - Oct. 28, 2024; April 6, 2018 - Oct. 2, 2021; March 31, 2016 - March 31, 2019"
University of Nebraska - Lincoln,"Lincoln, NE, US",Silver,62.46,"Jan. 30, 2023",Emily Deeker,"Jan. 31, 2020",Pam Edwards,True,4,"Jan. 31, 2020 - Jan. 30, 2023; Feb. 20, 2018 - Aug. 18, 2021; Feb. 26, 2016 - Feb. 25, 2019; Jan. 23, 2014 - Jan. 22, 2017"
University of Nebraska at Kearney,"Kearney, NE, US",Reporter - expired,,"Feb. 1, 2015",Lee McQueen,"Feb. 2, 2012",,False,0,
University of Nebraska at Omaha,"Omaha, NE, US",Silver - expired,56.90,"March 18, 2022",Kristina Hughes,"March 19, 2019",Sarah Burke,True,3,"March 19, 2019 - March 18, 2022; Feb. 13, 2017 - Feb. 13, 2020; May 10, 2014 - May 9, 2017"
Keene State College,"Keene, NH, US",Gold,78.07,"March 30, 2024",Linsey Edmunds,"March 4, 2021",Troy Bellott,True,4,"March 4, 2021 - March 30, 2024; May 25, 2017 - Nov. 20, 2020; Feb. 24, 2015 - Feb. 23, 2018; Feb. 17, 2012 - Feb. 16, 2015"
Plymouth State University,"Plymouth, NH, US",Reporter - expired,,"Feb. 27, 2017",Brian Eisenhauer,"Feb. 28, 2014",,False,0,
Southern New Hampshire University,"Manchester, NH, US",Bronze,30.46,"Oct. 10, 2022",Caitlin Jillson,"Oct. 11, 2019",,False,0,
University of New Hampshire,"Durham, NH, US",Platinum,86.09,"Oct. 21, 2024",Jennifer Andrews,"Aug. 16, 2021",Jennifer Andrews,True,5,"Aug. 16, 2021 - Oct. 21, 2024; Feb. 27, 2018 - Aug. 25, 2021; July 27, 2017 - Jan. 22, 2021; July 29, 2014 - July 28, 2017; Aug. 2, 2011 - Aug. 1, 2014"
Drew University,"Madison, NJ, US",Silver - expired,46.52,"Nov. 15, 2014",Sarah Wald,"Nov. 16, 2011",,False,0,
Princeton University,"Princeton, NJ, US",Gold,68.42,"Dec. 9, 2024",Kristi Wiedemann,"Aug. 25, 2021",Sarah Bavuso,True,4,"Aug. 25, 2021 - Dec. 9, 2024; Feb. 28, 2018 - Aug. 26, 2021; March 13, 2015 - March 12, 2018; March 15, 2012 - March 15, 2015"
Raritan Valley Community College,"Branchburg, NJ, US",Silver,59.69,"July 30, 2022",Susan Dorward,"July 31, 2019",Susan Dorward,True,3,"July 31, 2019 - July 30, 2022; April 14, 2015 - April 13, 2018; Aug. 5, 2011 - Aug. 4, 2014"
Stevens Institute of Technology,"Hoboken, NJ, US",Gold,65.20,"March 2, 2023",Sarah Gilly,"March 2, 2020",Sara Klein,True,2,"March 2, 2020 - March 2, 2023; Dec. 16, 2015 - Dec. 15, 2018"
Stockton University,"Galloway, NJ, US",Reporter - expired,,"Feb. 28, 2022",Michael Ferraro II,"March 1, 2019",Alice Gitchell,True,0,
Central New Mexico Community College,"Albuquerque, NM, US",Silver,55.91,"July 25, 2022",Molly Blumhoefer,"July 26, 2019",Molly Blumhoefer,False,3,"July 26, 2019 - July 25, 2022; July 27, 2016 - July 27, 2019; May 19, 2014 - May 18, 2017"
New Mexico State University,"Las Cruces, NM, US",Bronze,40.09,"May 13, 2024",Allison Jenks,"March 5, 2021",Allison Jenks,True,4,"March 5, 2021 - May 13, 2024; Jan. 26, 2017 - Jan. 26, 2020; Nov. 30, 2012 - Nov. 30, 2015; Sept. 7, 2011 - Sept. 6, 2014"
United World College-USA,"Montezuma, NM, US",Bronze,31.76,"Dec. 16, 2022",Jonathan Ehrlich,"Dec. 17, 2019",Todd Austin,True,0,
University of Nevada Las Vegas,"Las Vegas, NV, US",Silver - expired,45.68,"Dec. 17, 2018",Tara Pike,"Dec. 18, 2015",,False,2,"Dec. 18, 2015 - Dec. 17, 2018; June 17, 2011 - June 16, 2014"
Alfred State College,"Alfred, NY, US",Bronze - expired,30.08,"Oct. 9, 2015",Julian Dautremont-Smith,"Oct. 9, 2012",,False,0,
Bard College,"Annandale-On-Hudson, NY, US",Gold,66.69,"Nov. 20, 2023",Laurie Husted,"June 8, 2020",Brittany Florio,True,4,"June 8, 2020 - Nov. 20, 2023; June 9, 2017 - Dec. 5, 2020; June 12, 2014 - June 11, 2017; June 14, 2011 - June 13, 2014"
Barnard College,"New York, NY, US",Silver,54.65,"March 6, 2023",Leslie Raucher,"March 6, 2020",,False,0,
Binghamton University,"Binghamton, NY, US",Gold,65.46,"March 5, 2023",Sandy DeJohn,"March 5, 2020",Christopher Harasta,True,3,"March 5, 2020 - March 5, 2023; Feb. 28, 2019 - Feb. 27, 2022; March 2, 2018 - Aug. 28, 2021"
"City University of New York, Brooklyn College","Brooklyn, NY, US",Reporter,,"March 6, 2025",Carrie Sadovnik,"March 4, 2022",Julissa Lora,True,0,
"City University of New York, John Jay College of Criminal Justice","New York, NY, US",Silver,50.79,"April 20, 2024",Lindsey Kayman,"March 4, 2021",Lindsey Kayman,True,0,
Clarkson University,"Potsdam, NY, US",Gold - expired,65.55,"Feb. 21, 2022",Susan Powers,"Feb. 22, 2019",Alex French,True,3,"Feb. 22, 2019 - Feb. 21, 2022; Feb. 12, 2016 - Feb. 11, 2019; Nov. 30, 2012 - Nov. 30, 2015"
Colgate University,"Hamilton, NY, US",Gold - expired,72.19,"Feb. 6, 2021",John Pumilio,"Aug. 11, 2017",Pamela Gramlich,True,3,"Aug. 11, 2017 - Feb. 6, 2021; July 23, 2014 - July 22, 2017; July 17, 2013 - July 16, 2016"
Columbia University,"New York, NY, US",Gold - expired,65.89,"Aug. 28, 2021",Allie Schwartz,"Aug. 29, 2018",Bianca Tamburello,True,3,"Aug. 29, 2018 - Aug. 28, 2021; April 14, 2015 - April 13, 2018; Nov. 30, 2012 - Nov. 30, 2015"
Cornell University,"Ithaca, NY, US",Platinum,86.35,"April 18, 2025",Careen Arsenault,"March 3, 2022",Daniel Dosztan,True,11,"March 3, 2022 - April 18, 2025; March 4, 2021 - May 6, 2024; March 5, 2020 - March 5, 2023; Feb. 27, 2019 - Feb. 26, 2022; March 1, 2018 - Aug. 27, 2021; April 28, 2017 - Oct. 24, 2020; March 22, 2016 - March 22, 2019; March 20, 2015 - March 19, 2018; March 7, 2014 - March 6, 2017; March 8, 2013 - March 7, 2016; Jan. 27, 2012 - Jan. 26, 2015"
Hobart and William Smith Colleges,"Geneva, NY, US",Silver,60.54,"March 25, 2024",Michael Amadori,"March 5, 2021",Michael Amadori,True,5,"March 5, 2021 - March 25, 2024; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022; March 2, 2018 - Aug. 28, 2021; Feb. 27, 2017 - Feb. 27, 2020"
Houghton College,"Houghton, NY, US",Bronze,28.23,"March 5, 2023",Brian Webb,"March 5, 2020",Brian Webb,True,0,
Ithaca College,"Ithaca, NY, US",Gold,67.33,"Nov. 24, 2022",Greg Lischke,"Nov. 25, 2019",Rebecca Evans,True,4,"Nov. 25, 2019 - Nov. 24, 2022; Dec. 7, 2016 - Dec. 7, 2019; Nov. 20, 2013 - Nov. 19, 2016; Aug. 2, 2011 - Aug. 1, 2014"
LIU Post,"Brookville, NY, US",Silver - expired,45.20,"July 14, 2018",Scott Carlin,"July 15, 2015",,False,0,
New York University,"New York, NY, US",Gold,67.30,"Feb. 6, 2023",Dianne Anderson,"Feb. 7, 2020",Nicholas Liu-Sontag,True,2,"Feb. 7, 2020 - Feb. 6, 2023; Jan. 31, 2011 - Jan. 30, 2014"
Onondaga Community College,"Syracuse, NY, US",Silver - expired,48.14,"April 4, 2019",Sean Vormwald,"April 4, 2016",,False,2,"April 4, 2016 - April 4, 2019; Feb. 13, 2012 - Feb. 12, 2015"
Orange County Community College,"Middletown, NY, US",Silver - expired,47.53,"Jan. 13, 2022",Kirsten Gabrielsen,"Jan. 14, 2019",,False,3,"Jan. 14, 2019 - Jan. 13, 2022; Feb. 4, 2014 - Feb. 3, 2017; Jan. 21, 2011 - Jan. 20, 2014"
Pace University,"Pleasantville, NY, US",Reporter,,"March 6, 2023",Ryan McEnany,"March 6, 2020",Ryan McEnany,True,2,"March 6, 2020 - March 6, 2023; Aug. 19, 2011 - Aug. 18, 2014"
Paul Smith's College of Arts & Sciences,"Paul Smiths, NY, US",Bronze,32.82,"March 6, 2023",Katharine Glenn,"March 6, 2020",,False,2,"March 6, 2020 - March 6, 2023; March 7, 2019 - March 6, 2022"
Pratt Institute,"Brooklyn, NY, US",Silver,61.84,"April 12, 2025",Carolyn Shafer,"March 4, 2022",Rick Cenicola,True,4,"March 4, 2022 - April 12, 2025; March 5, 2021 - May 9, 2024; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022"
Purchase College - State University of New York,"Purchase, NY, US",Silver,45.37,"Oct. 30, 2022",Angie Kim,"Oct. 31, 2019",Angie Kim,True,0,
Rochester Institute of Technology,"Rochester, NY, US",Gold,70.33,"April 12, 2025",Enid Cardinal,"March 3, 2022",Enid Cardinal,True,3,"March 3, 2022 - April 12, 2025; March 30, 2018 - Sept. 25, 2021; July 29, 2013 - July 28, 2016"
Skidmore College,"Saratoga Springs, NY, US",Gold,66.86,"Dec. 15, 2024",Mark Youndt,"May 30, 2021",Levi Rogers,True,2,"May 30, 2021 - Dec. 15, 2024; March 10, 2017 - Sept. 5, 2020"
"St. John's University, New York","Queens, NY, US",Gold - expired,67.98,"March 14, 2019",Tom Goldsmith,"March 14, 2016",,False,3,"March 14, 2016 - March 14, 2019; April 27, 2012 - April 27, 2015; Jan. 31, 2011 - Jan. 30, 2014"
St. Lawrence University,"Canton, NY, US",Silver - expired,53.23,"June 11, 2021",Ryan Kmetz,"Dec. 14, 2017",,False,2,"Dec. 14, 2017 - June 11, 2021; Aug. 28, 2013 - Aug. 27, 2016"
State University of New York College of Environmental Science and Forestry,"Syracuse, NY, US",Platinum,85.66,"April 29, 2024",Mark Lichtenstein,"March 5, 2021",Sue Fassler,True,4,"March 5, 2021 - April 29, 2024; Feb. 28, 2019 - Feb. 27, 2022; June 7, 2016 - June 7, 2019; April 26, 2011 - April 25, 2014"
State University of New York Polytechnic Institute,"Utica, NY, US",Reporter,,"June 22, 2024",Mark Bremer,"March 30, 2021",Shea Garramone,True,2,"March 30, 2021 - June 22, 2024; April 6, 2016 - April 6, 2019"
State University of New York at Brockport,"Brockport, NY, US",Silver - expired,48.64,"Dec. 11, 2021",Craig Ross,"Dec. 12, 2018",,False,2,"Dec. 12, 2018 - Dec. 11, 2021; Jan. 30, 2012 - Jan. 29, 2015"
State University of New York at Cortland,"Cortland, NY, US",Gold - expired,68.02,"Feb. 24, 2022",Beth Klein,"Feb. 25, 2019",Theresa Baker,True,3,"Feb. 25, 2019 - Feb. 24, 2022; April 23, 2015 - April 22, 2018; Feb. 29, 2012 - Feb. 28, 2015"
State University of New York at Fredonia,"Fredonia, NY, US",Bronze - expired,40.39,"Nov. 12, 2020",Sarah Laurie,"May 17, 2017",Sarah Laurie,True,3,"May 17, 2017 - Nov. 12, 2020; May 7, 2014 - May 6, 2017; Jan. 31, 2011 - Jan. 30, 2014"
State University of New York at Geneseo,"Geneseo, NY, US",Silver,45.51,"Nov. 24, 2022",Dan DeZarn,"Nov. 25, 2019",Dan Dezarn,True,4,"Nov. 25, 2019 - Nov. 24, 2022; March 31, 2016 - March 31, 2019; Feb. 26, 2013 - Feb. 26, 2016; July 6, 2012 - July 6, 2015"
State University of New York at New Paltz,"New Paltz, NY, US",Silver - expired,53.78,"Sept. 3, 2021",Lisa Mitten,"March 8, 2018",Lisa Mitten,True,2,"March 8, 2018 - Sept. 3, 2021; March 4, 2015 - March 3, 2018"
State University of New York at Oneonta,"Oneonta, NY, US",Silver - expired,46.44,"Aug. 28, 2021",Rachel Kornhauser,"March 2, 2018",Rachel Kornhauser,True,2,"March 2, 2018 - Aug. 28, 2021; Jan. 21, 2013 - Jan. 21, 2016"
State University of New York at Oswego,"Oswego, NY, US",Silver,54.99,"May 11, 2024",Katherine Spector,"March 5, 2021",Stephen McAfee,True,2,"March 5, 2021 - May 11, 2024; Aug. 1, 2011 - July 31, 2014"
State University of New York at Potsdam,"Potsdam, NY, US",Bronze,26.70,"Feb. 3, 2023",Raymond Bowdish,"Feb. 4, 2020",Raymond Bowdish,True,0,
Stony Brook University,"Stony Brook, NY, US",Reporter - expired,,"Nov. 10, 2019",Greg Monaco,"Nov. 10, 2016",,False,0,
Syracuse University,"Syracuse, NY, US",Silver,61.49,"Feb. 21, 2025",Melissa Cadwell,"Jan. 7, 2022",Melissa Cadwell,True,2,"Jan. 7, 2022 - Feb. 21, 2025; June 15, 2018 - Dec. 11, 2021"
The New School,"New York, NY, US",Silver,53.65,"March 15, 2025",Mike Harrington,"Dec. 17, 2021",Mike Harrington,True,3,"Dec. 17, 2021 - March 15, 2025; Aug. 6, 2018 - Aug. 5, 2021; Aug. 17, 2011 - Aug. 16, 2014"
University at Albany,"Albany, NY, US",Gold - expired,68.22,"Dec. 20, 2021",Mary Ellen Mallia,"Dec. 21, 2018",Mary Ellen Mallia,True,3,"Dec. 21, 2018 - Dec. 20, 2021; Jan. 15, 2016 - Jan. 14, 2019; July 19, 2012 - July 19, 2015"
University at Buffalo,"Buffalo, NY, US",Gold - expired,69.58,"Dec. 13, 2021",Derek Nichols,"Dec. 14, 2018",Jeff Brady,True,3,"Dec. 14, 2018 - Dec. 13, 2021; Sept. 16, 2015 - Sept. 15, 2018; Nov. 20, 2012 - Nov. 20, 2015"
University of Rochester,"Rochester, NY, US",Silver,56.35,"Feb. 7, 2025",Amy Kadrie,"Dec. 15, 2021",Cameron Schauf,True,3,"Dec. 15, 2021 - Feb. 7, 2025; Jan. 31, 2019 - Jan. 30, 2022; Jan. 6, 2016 - Jan. 5, 2019"
Vassar College,"Poughkeepsie, NY, US",Gold,69.13,"March 28, 2024",Cora Kenfield,"March 4, 2021",Micah Kenfield,True,4,"March 4, 2021 - March 28, 2024; March 15, 2018 - Sept. 10, 2021; July 22, 2014 - July 21, 2017; July 27, 2011 - July 26, 2014"
Wells College,"Aurora, NY, US",Gold - expired,65.89,"June 10, 2021",Marian Brown,"Dec. 13, 2017",Marian Brown,True,2,"Dec. 13, 2017 - June 10, 2021; Feb. 26, 2016 - Feb. 25, 2019"
Yeshiva University,"New York, NY, US",Bronze - expired,40.43,"Feb. 10, 2017",David Pianko,"Feb. 11, 2014",,False,0,
Antioch College,"Yellow Springs, OH, US",Silver - expired,50.83,"Sept. 24, 2021",Hannah Spirrison,"March 29, 2018",Isaac Delamatre,True,0,
Baldwin Wallace University,"Berea, OH, US",Silver - expired,51.68,"Jan. 10, 2022",Franklin Lebo,"Jan. 11, 2019",Franklin Lebo,True,0,
Case Western Reserve University,"Cleveland, OH, US",Reporter,,"March 6, 2025",Stephanie Corbett,"March 4, 2022",Jim O'Brien,True,2,"March 4, 2022 - March 6, 2025; March 2, 2018 - Aug. 28, 2021"
Central Ohio Technical College,"Newark, OH, US",Bronze - expired,40.97,"Sept. 11, 2016",Joseph Argiro,"Sept. 12, 2013",,False,0,
Cleveland State University,"Cleveland, OH, US",Silver,56.21,"Oct. 2, 2023",Jennifer McMillin,"July 28, 2020",Jennifer McMillin,True,3,"July 28, 2020 - Oct. 2, 2023; June 15, 2017 - Dec. 11, 2020; July 21, 2011 - July 20, 2014"
Denison University,"Granville, OH, US",Gold - expired,65.38,"Feb. 27, 2022",Jeremy King,"Feb. 28, 2019",Jeremy King,True,3,"Feb. 28, 2019 - Feb. 27, 2022; March 23, 2016 - March 23, 2019; July 25, 2012 - July 25, 2015"
Kent State University,"Kent, OH, US",Bronze,36.37,"May 12, 2024",Melanie Knowles,"March 5, 2021",Melanie Knowles,True,0,
Kenyon College,"Gambier, OH, US",Silver,46.20,"March 4, 2024",David Heithaus,"Jan. 20, 2021",Mark Kohlman,True,0,
Lakeland Community College,"Kirtland, OH, US",Reporter - expired,,"May 31, 2014",Linda Daly,"June 1, 2011",,False,0,
Miami University,"Oxford, OH, US",Gold - expired,68.96,"Feb. 28, 2022",Adam Sizemore,"March 1, 2019",Jon Brubaker,True,3,"March 1, 2019 - Feb. 28, 2022; March 2, 2016 - March 2, 2019; March 6, 2013 - March 5, 2016"
Oberlin College,"OH, US",Gold - expired,73.13,"Sept. 4, 2020",Bridget Flynn,"March 9, 2017",,False,2,"March 9, 2017 - Sept. 4, 2020; Feb. 15, 2012 - Feb. 14, 2015"
Ohio University,"Athens, OH, US",Silver,59.94,"Oct. 28, 2024",Elaine Goetz,"Aug. 11, 2021",Erin Robb,True,3,"Aug. 11, 2021 - Oct. 28, 2024; Feb. 20, 2018 - Aug. 18, 2021; March 11, 2015 - March 10, 2018"
Stark State College,"North Canton, OH, US",Silver - expired,45.12,"Aug. 13, 2015",Stefanie Smith,"Aug. 13, 2012",,False,0,
The College of Wooster,"Wooster, OH, US",Silver - expired,45.81,"Nov. 11, 2016",Sb Loder,"Nov. 12, 2013",,False,0,
The Ohio State University,"Columbus, OH, US",Gold - expired,68.72,"Jan. 17, 2022",Greg Maginn,"Jan. 18, 2019",Timothy Keegstra,True,3,"Jan. 18, 2019 - Jan. 17, 2022; Jan. 22, 2016 - Jan. 21, 2019; Dec. 16, 2012 - Dec. 16, 2015"
The Ohio State University at Lima,"Lima, OH, US",Silver - expired,48.07,"Nov. 4, 2020",Tony Gillund,"May 9, 2017",Tyler Takayama,True,2,"May 9, 2017 - Nov. 4, 2020; Jan. 21, 2014 - Jan. 20, 2017"
The Ohio State University at Mansfield,"Mansfield, OH, US",Silver - expired,47.67,"Nov. 4, 2020",Tony Gillund,"May 9, 2017",Donna (PhD) Hight,True,2,"May 9, 2017 - Nov. 4, 2020; Jan. 14, 2014 - Jan. 13, 2017"
The Ohio State University at Marion,"Marion, OH, US",Silver - expired,49.91,"Nov. 4, 2020",Tony Gillund,"May 9, 2017",Ron Turner,True,2,"May 9, 2017 - Nov. 4, 2020; Jan. 2, 2014 - Jan. 1, 2017"
The Ohio State University at Newark,"Newark, OH, US",Silver - expired,49.61,"Nov. 4, 2020",Tony Gillund,"May 9, 2017",,False,2,"May 9, 2017 - Nov. 4, 2020; Sept. 12, 2013 - Sept. 11, 2016"
University of Cincinnati,"Cincinnati, OH, US",Gold,67.77,"March 6, 2023",Andrew Porter,"March 6, 2020",Daniel Hart,True,3,"March 6, 2020 - March 6, 2023; March 10, 2017 - Sept. 5, 2020; March 11, 2014 - March 10, 2017"
University of Dayton,"Dayton, OH, US",Gold,74.69,"March 14, 2025",Leah Ceperley,"Feb. 9, 2022",Joan Bauman,True,6,"Feb. 9, 2022 - March 14, 2025; March 1, 2019 - Feb. 28, 2022; March 2, 2018 - Aug. 28, 2021; Feb. 23, 2017 - Feb. 23, 2020; Jan. 31, 2014 - Jan. 30, 2017; Sept. 7, 2011 - Sept. 6, 2014"
University of Mount Union,"Alliance, OH, US",Silver,54.76,"May 5, 2024",Jamie Greiner,"March 22, 2021",Jamie Greiner,True,4,"March 22, 2021 - May 5, 2024; Sept. 29, 2017 - March 27, 2021; Oct. 2, 2014 - Oct. 1, 2017; April 27, 2011 - April 26, 2014"
Oklahoma City University,"Oklahoma City, OK, US",Bronze - expired,30.68,"July 31, 2014",Adam Ryburn,"Aug. 1, 2011",,False,0,
Oklahoma State University,"Stillwater, OK, US",Silver,59.44,"April 7, 2025",Kristeena Blaser,"March 3, 2022",Kristeena Blaser,True,5,"March 3, 2022 - April 7, 2025; Aug. 25, 2021 - Oct. 19, 2024; May 15, 2018 - Nov. 10, 2021; Jan. 12, 2015 - Jan. 11, 2018; Jan. 13, 2012 - Jan. 12, 2015"
Lane Community College,"Eugene, OR, US",Silver,56.66,"May 5, 2024",Luis Maggiori,"March 5, 2021",Audreyanna O'Brion,True,0,
Lewis & Clark College,"Portland, OR, US",Gold,70.42,"March 6, 2023",Amy Dvorak,"March 6, 2020",Amy Dvorak,True,2,"March 6, 2020 - March 6, 2023; June 30, 2017 - Dec. 26, 2020"
Oregon Institute of Technology,"Klamath Falls, OR, US",Bronze - expired,39.89,"Dec. 12, 2014",Charles Riley,"Dec. 13, 2011",,False,0,
Oregon State University,"Corvallis, OR, US",Gold,74.49,"Jan. 20, 2025",Brandon Trelstad,"Dec. 8, 2021",Leticia Cavazos,True,11,"Dec. 8, 2021 - Jan. 20, 2025; Dec. 23, 2020 - March 8, 2024; Dec. 20, 2019 - Dec. 19, 2022; Dec. 20, 2018 - Dec. 19, 2021; Jan. 31, 2018 - July 29, 2021; Feb. 28, 2017 - Feb. 28, 2020; March 4, 2016 - March 4, 2019; April 30, 2015 - April 29, 2018; April 30, 2014 - April 29, 2017; May 11, 2013 - May 10, 2016; Jan. 31, 2011 - Jan. 30, 2014"
Pacific University,"Forest Grove, OR, US",Silver - expired,57.55,"Dec. 19, 2021",Michelle Larkins,"Dec. 20, 2018",Michelle Larkins,True,2,"Dec. 20, 2018 - Dec. 19, 2021; Feb. 17, 2012 - Feb. 16, 2015"
Portland Community College,"Portland, OR, US",Silver,62.98,"April 11, 2024",Briar Schoon,"March 5, 2021",Stephania Fregosi,True,4,"March 5, 2021 - April 11, 2024; June 30, 2017 - Dec. 26, 2020; Sept. 23, 2013 - Sept. 22, 2016; June 13, 2012 - June 13, 2015"
Portland State University,"Portland, OR, US",Gold,75.77,"April 7, 2025",Jenny McNamara,"March 1, 2022",Amanda Wolf,True,10,"March 1, 2022 - April 7, 2025; March 5, 2021 - April 28, 2024; March 5, 2020 - March 5, 2023; March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021; June 27, 2017 - Dec. 23, 2020; June 30, 2016 - June 30, 2019; April 8, 2015 - April 7, 2018; Feb. 21, 2014 - Feb. 20, 2017; Feb. 11, 2011 - Feb. 10, 2014"
